Tabela 20,,,,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2017,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,
,,,,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,,,,
 Origem , Coletivo , Individual , A pé , Bicicleta ,,,
,,,,,,,
1,  67 ,  45 ,  9 ,  15 ,,,
2,  78 ,  58 ,  12 ,  18 ,,,
3,  56 ,  37 ,  11 ,  10 ,,,
4,  70 ,  30 ,  14 ,  15 ,,,
5,  72 ,  42 ,  8 ,  24 ,,,
6,  64 ,  46 ,  10 ,  15 ,,,
7,  71 ,  40 ,  11 ,  36 ,,,
8,  64 ,  52 ,  13 ,  15 ,,,
9,  82 ,  53 ,  11 ,  38 ,,,
10,  63 ,  21 ,  11 ,  9 ,,,
11,  68 ,  29 ,  13 ,  15 ,,,
12,  80 ,  40 ,  11 ,  19 ,,,
13,  88 ,  29 ,  10 ,  10 ,,,
14,  78 ,  58 ,  10 ,  11 ,,,
15,  79 ,  35 ,  14 ,  14 ,,,
16,  68 ,  43 ,  12 ,  28 ,,,
17,  72 ,  37 ,  11 ,  17 ,,,
18,  76 ,  31 ,  13 ,  19 ,,,
19,  66 ,  24 ,  11 ,  90 ,,,
20,  49 ,  21 ,  15 ,  10 ,,,
21,  54 ,  20 ,  9 ,  30 ,,,
22,  58 ,  31 ,  16 ,  29 ,,,
23,  76 ,  47 ,  10 ,  19 ,,,
24,  66 ,  34 ,  11 ,  27 ,,,
25,  64 ,  25 ,  15 ,  23 ,,,
26,  64 ,  46 ,  12 ,  14 ,,,
27,  75 ,  32 ,  13 ,  26 ,,,
28,  64 ,  54 ,  11 ,  26 ,,,
29,  73 ,  38 ,  10 ,  32 ,,,
30,  84 ,  33 ,  13 ,  26 ,,,
31,  62 ,  33 ,  11 ,  28 ,,,
32,  69 ,  37 ,  11 ,  29 ,,,
33,  88 ,  28 ,  17 ,  30 ,,,
34,  75 ,  34 ,  14 ,  27 ,,,
35,  62 ,  35 ,  15 ,  21 ,,,
36,  62 ,  26 ,  11 ,  13 ,,,
37,  84 ,  36 ,  11 ,  23 ,,,
38,  68 ,  40 ,  23 ,  -   ,,,
39,  71 ,  30 ,  10 ,  20 ,,,
40,  74 ,  30 ,  8 ,  37 ,,,
41,  63 ,  34 ,  9 ,  30 ,,,
42,  81 ,  36 ,  11 ,  23 ,,,
43,  64 ,  30 ,  14 ,  22 ,,,
44,  74 ,  27 ,  11 ,  15 ,,,
45,  68 ,  35 ,  9 ,  30 ,,,
46,  46 ,  19 ,  9 ,  30 ,,,
47,  67 ,  23 ,  11 ,  24 ,,,
48,  60 ,  24 ,  11 ,  22 ,,,
49,  69 ,  27 ,  13 ,  24 ,,,
50,  49 ,  18 ,  15 ,  20 ,,,
51,  57 ,  21 ,  13 ,  25 ,,,
52,  70 ,  38 ,  17 ,  -   ,,,
53,  71 ,  30 ,  13 ,  36 ,,,
54,  75 ,  41 ,  9 ,  53 ,,,
55,  70 ,  32 ,  11 ,  20 ,,,
56,  64 ,  25 ,  14 ,  30 ,,,
57,  74 ,  27 ,  11 ,  19 ,,,
58,  63 ,  28 ,  17 ,  30 ,,,
59,  54 ,  29 ,  10 ,  15 ,,,
60,  64 ,  21 ,  13 ,  17 ,,,
61,  63 ,  30 ,  13 ,  30 ,,,
62,  88 ,  37 ,  13 ,  20 ,,,
63,  86 ,  43 ,  15 ,  22 ,,,
64,  78 ,  29 ,  7 ,  18 ,,,
65,  76 ,  26 ,  9 ,  10 ,,,
66,  74 ,  29 ,  11 ,  33 ,,,
67,  72 ,  27 ,  11 ,  25 ,,,
68,  84 ,  34 ,  8 ,  23 ,,,
69,  80 ,  33 ,  7 ,  18 ,,,
70,  74 ,  36 ,  9 ,  19 ,,,
71,  65 ,  27 ,  11 ,  31 ,,,
72,  78 ,  32 ,  12 ,  22 ,,,
73,  80 ,  42 ,  7 ,  18 ,,,
74,  77 ,  32 ,  10 ,  18 ,,,
75,  93 ,  31 ,  10 ,  13 ,,,
76,  78 ,  40 ,  10 ,  26 ,,,
77,  76 ,  30 ,  11 ,  22 ,,,
78,  72 ,  28 ,  10 ,  36 ,,,
79,  78 ,  44 ,  9 ,  36 ,,,
80,  69 ,  30 ,  9 ,  21 ,,,
81,  87 ,  30 ,  8 ,  19 ,,,
82,  75 ,  37 ,  8 ,  22 ,,,
83,  65 ,  26 ,  10 ,  19 ,,,
84,  68 ,  28 ,  11 ,  23 ,,,
85,  56 ,  23 ,  9 ,  20 ,,,
86,  73 ,  21 ,  13 ,  18 ,,,
87,  60 ,  21 ,  12 ,  20 ,,,
88,  68 ,  23 ,  10 ,  31 ,,,
89,  65 ,  23 ,  12 ,  16 ,,,
90,  70 ,  23 ,  10 ,  21 ,,,
91,  73 ,  36 ,  10 ,  18 ,,,
92,  76 ,  48 ,  9 ,  15 ,,,
