Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2017,,,,,,,,,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional , Dirigindo moto , Passageiro de moto , Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
,,,,,,,,,,,,,,,
  1 ,  65.511 ,  1.454 ,  34.277 ,  386 ,  235 ,  9.733 ,  3.938 ,  704 ,  368 ,  1.677 ,  -   ,  146 ,  41.670 ,  60 ,  160.157 
  2 ,  45.207 ,  7.142 ,  29.969 ,  -   ,  40 ,  15.353 ,  6.491 ,  623 ,  1.144 ,  4.291 ,  24 ,  737 ,  26.228 ,  1.057 ,  138.306 
  3 ,  20.980 ,  -   ,  8.402 ,  -   ,  244 ,  6.267 ,  1.061 ,  318 ,  529 ,  745 ,  288 ,  331 ,  23.337 ,  -   ,  62.503 
  4 ,  17.751 ,  264 ,  15.459 ,  -   ,  289 ,  9.423 ,  1.503 ,  859 ,  3.258 ,  322 ,  -   ,  1.084 ,  27.619 ,  455 ,  78.286 
  5 ,  79.320 ,  1.395 ,  27.348 ,  -   ,  246 ,  14.851 ,  3.788 ,  429 ,  3.261 ,  2.017 ,  571 ,  1.379 ,  51.641 ,  907 ,  187.153 
  6 ,  21.375 ,  14.802 ,  17.433 ,  -   ,  332 ,  9.347 ,  2.622 ,  328 ,  1.974 ,  3.149 ,  -   ,  1.565 ,  36.262 ,  162 ,  109.351 
  7 ,  18.300 ,  12.026 ,  10.270 ,  1.658 ,  614 ,  10.043 ,  3.134 ,  140 ,  638 ,  3.837 ,  669 ,  1.706 ,  30.605 ,  41 ,  93.681 
  8 ,  1.846 ,  3.078 ,  5.840 ,  801 ,  289 ,  4.242 ,  1.197 ,  45 ,  514 ,  843 ,  -   ,  502 ,  20.971 ,  -   ,  40.170 
  9 ,  12.567 ,  1.136 ,  6.654 ,  -   ,  95 ,  5.274 ,  988 ,  -   ,  143 ,  711 ,  -   ,  513 ,  8.344 ,  96 ,  36.522 
  10 ,  5.758 ,  -   ,  7.911 ,  330 ,  1.849 ,  1.929 ,  1.404 ,  -   ,  147 ,  200 ,  -   ,  336 ,  4.167 ,  -   ,  24.030 
  11 ,  318 ,  14 ,  2.983 ,  -   ,  558 ,  2.187 ,  2.411 ,  22 ,  19 ,  1.086 ,  -   ,  83 ,  1.700 ,  -   ,  11.381 
  12 ,  3.720 ,  5.533 ,  7.963 ,  68 ,  747 ,  4.770 ,  3.025 ,  -   ,  214 ,  1.290 ,  -   ,  1.293 ,  15.225 ,  1.077 ,  44.924 
  13 ,  2.067 ,  6.333 ,  3.431 ,  241 ,  34 ,  3.318 ,  3.964 ,  144 ,  813 ,  -   ,  -   ,  38 ,  4.178 ,  -   ,  24.562 
  14 ,  6.745 ,  13.364 ,  14.486 ,  1.544 ,  148 ,  7.847 ,  5.656 ,  -   ,  999 ,  457 ,  13 ,  82 ,  15.439 ,  -   ,  66.780 
  15 ,  8.374 ,  5.811 ,  6.535 ,  -   ,  772 ,  3.171 ,  1.848 ,  -   ,  -   ,  480 ,  -   ,  253 ,  8.997 ,  -   ,  36.241 
  16 ,  13.817 ,  4.498 ,  6.246 ,  -   ,  644 ,  6.294 ,  383 ,  122 ,  399 ,  147 ,  -   ,  1.046 ,  14.232 ,  371 ,  48.197 
  17 ,  7.267 ,  1.381 ,  6.384 ,  24 ,  181 ,  3.553 ,  651 ,  94 ,  376 ,  636 ,  72 ,  295 ,  10.592 ,  -   ,  31.507 
  18 ,  7.603 ,  3.206 ,  16.743 ,  319 ,  648 ,  15.734 ,  5.667 ,  330 ,  1.385 ,  178 ,  -   ,  545 ,  19.947 ,  932 ,  73.238 
  19 ,  4.151 ,  329 ,  12.593 ,  156 ,  1.322 ,  15.931 ,  8.953 ,  256 ,  821 ,  2.251 ,  -   ,  226 ,  10.914 ,  -   ,  57.903 
  20 ,  4.074 ,  576 ,  10.082 ,  -   ,  888 ,  9.983 ,  3.271 ,  191 ,  1.060 ,  1.209 ,  -   ,  212 ,  14.483 ,  -   ,  46.030 
  21 ,  5.696 ,  -   ,  7.349 ,  -   ,  543 ,  10.352 ,  5.612 ,  1.243 ,  2.373 ,  1.495 ,  -   ,  160 ,  9.389 ,  106 ,  44.318 
  22 ,  10.465 ,  -   ,  4.784 ,  -   ,  187 ,  5.528 ,  2.837 ,  67 ,  265 ,  1.032 ,  -   ,  200 ,  11.573 ,  300 ,  37.239 
  23 ,  39.167 ,  -   ,  7.410 ,  155 ,  148 ,  9.449 ,  2.468 ,  974 ,  587 ,  2.131 ,  -   ,  234 ,  10.963 ,  -   ,  73.688 
  24 ,  42.920 ,  -   ,  11.653 ,  -   ,  288 ,  8.986 ,  2.192 ,  375 ,  421 ,  2.143 ,  515 ,  339 ,  19.667 ,  37 ,  89.534 
  25 ,  5.270 ,  -   ,  8.117 ,  14 ,  97 ,  3.719 ,  1.555 ,  418 ,  1.114 ,  1.008 ,  -   ,  570 ,  18.538 ,  409 ,  40.829 
  26 ,  11.855 ,  -   ,  7.038 ,  -   ,  1.156 ,  10.335 ,  6.305 ,  371 ,  393 ,  90 ,  -   ,  269 ,  16.868 ,  -   ,  54.681 
  27 ,  39.193 ,  821 ,  18.358 ,  -   ,  473 ,  18.228 ,  7.137 ,  2.455 ,  2.911 ,  1.490 ,  31 ,  599 ,  28.618 ,  -   ,  120.315 
  28 ,  25.221 ,  1.054 ,  12.493 ,  -   ,  731 ,  11.653 ,  4.326 ,  1.911 ,  1.141 ,  745 ,  -   ,  247 ,  17.251 ,  -   ,  76.772 
  29 ,  30.261 ,  937 ,  18.890 ,  -   ,  391 ,  13.160 ,  1.941 ,  812 ,  3.441 ,  2.504 ,  -   ,  212 ,  22.180 ,  60 ,  94.788 
  30 ,  11.641 ,  377 ,  5.992 ,  2.663 ,  403 ,  12.897 ,  3.884 ,  921 ,  2.021 ,  1.433 ,  -   ,  1.457 ,  19.040 ,  -   ,  62.730 
  31 ,  36.170 ,  395 ,  24.276 ,  791 ,  1.092 ,  16.292 ,  5.377 ,  1.210 ,  2.834 ,  1.146 ,  -   ,  264 ,  29.171 ,  371 ,  119.388 
  32 ,  41.986 ,  1.638 ,  17.480 ,  -   ,  572 ,  12.353 ,  3.169 ,  389 ,  633 ,  514 ,  -   ,  287 ,  33.532 ,  -   ,  112.552 
  33 ,  1.526 ,  324 ,  857 ,  -   ,  134 ,  1.078 ,  223 ,  20 ,  506 ,  673 ,  -   ,  53 ,  1.532 ,  -   ,  6.927 
  34 ,  5.162 ,  384 ,  2.434 ,  53 ,  195 ,  10.333 ,  6.215 ,  614 ,  785 ,  50 ,  -   ,  155 ,  6.503 ,  -   ,  32.883 
  35 ,  25.436 ,  2.271 ,  18.622 ,  -   ,  652 ,  14.476 ,  4.414 ,  983 ,  747 ,  69 ,  -   ,  394 ,  43.342 ,  852 ,  112.257 
  36 ,  28.459 ,  1.988 ,  15.814 ,  504 ,  990 ,  20.980 ,  8.372 ,  2.003 ,  2.940 ,  1.620 ,  -   ,  1.244 ,  27.629 ,  -   ,  112.542 
  37 ,  3.484 ,  3.977 ,  7.677 ,  451 ,  483 ,  6.445 ,  3.228 ,  37 ,  255 ,  1.126 ,  -   ,  1.246 ,  5.142 ,  -   ,  33.551 
  38 ,  1.116 ,  -   ,  1.708 ,  -   ,  441 ,  3.335 ,  273 ,  53 ,  53 ,  352 ,  -   ,  -   ,  4.799 ,  24 ,  12.154 
  39 ,  4.279 ,  1.024 ,  8.403 ,  97 ,  828 ,  5.150 ,  1.751 ,  -   ,  78 ,  287 ,  -   ,  7 ,  3.679 ,  -   ,  25.582 
  40 ,  11.958 ,  377 ,  9.736 ,  -   ,  825 ,  5.881 ,  2.714 ,  -   ,  165 ,  427 ,  -   ,  80 ,  10.792 ,  -   ,  42.954 
  41 ,  14.034 ,  2.615 ,  12.205 ,  -   ,  2.403 ,  13.188 ,  6.209 ,  104 ,  560 ,  1.518 ,  -   ,  198 ,  27.949 ,  -   ,  80.984 
  42 ,  2.934 ,  3.164 ,  8.045 ,  -   ,  487 ,  4.263 ,  2.877 ,  79 ,  532 ,  72 ,  -   ,  721 ,  6.053 ,  24 ,  29.252 
  43 ,  30.767 ,  2.448 ,  28.425 ,  98 ,  1.551 ,  15.046 ,  6.861 ,  352 ,  1.404 ,  1.538 ,  409 ,  700 ,  20.067 ,  448 ,  110.112 
  44 ,  6.823 ,  4.980 ,  11.051 ,  -   ,  1.889 ,  15.188 ,  5.864 ,  269 ,  1.387 ,  1.362 ,  295 ,  433 ,  11.609 ,  -   ,  61.151 
  45 ,  11.534 ,  3.190 ,  18.289 ,  900 ,  2.335 ,  20.417 ,  7.796 ,  -   ,  4.034 ,  1.529 ,  -   ,  1.780 ,  25.153 ,  413 ,  97.369 
