Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2017,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2017,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
 Zona de Destino , Viagens Atraídas por Tipo ,,,, Total 
, Coletivo , Individual , Modo Motorizado , Modo Não Motorizado ,
,,,,,
,,,,,
1,  101.862 ,  16.479 ,  118.342 ,  41.816 ,  160.157 
2,  82.358 ,  28.982 ,  111.341 ,  26.966 ,  138.306 
3,  29.626 ,  9.208 ,  38.834 ,  23.669 ,  62.503 
4,  33.764 ,  15.820 ,  49.583 ,  28.702 ,  78.286 
5,  108.310 ,  25.823 ,  134.133 ,  53.020 ,  187.153 
6,  53.942 ,  17.582 ,  71.524 ,  37.827 ,  109.351 
7,  42.868 ,  18.502 ,  61.370 ,  32.311 ,  93.681 
8,  11.855 ,  6.842 ,  18.697 ,  21.473 ,  40.170 
9,  20.453 ,  7.213 ,  27.665 ,  8.857 ,  36.522 
10,  15.849 ,  3.679 ,  19.528 ,  4.502 ,  24.030 
11,  3.874 ,  5.724 ,  9.598 ,  1.783 ,  11.381 
12,  18.031 ,  10.375 ,  28.405 ,  16.518 ,  44.924 
13,  12.106 ,  8.239 ,  20.345 ,  4.217 ,  24.562 
14,  36.287 ,  14.972 ,  51.259 ,  15.521 ,  66.780 
15,  21.491 ,  5.500 ,  26.991 ,  9.250 ,  36.241 
16,  25.205 ,  7.715 ,  32.920 ,  15.278 ,  48.197 
17,  15.237 ,  5.384 ,  20.620 ,  10.887 ,  31.507 
18,  28.519 ,  24.226 ,  52.745 ,  20.492 ,  73.238 
19,  18.551 ,  28.212 ,  46.762 ,  11.140 ,  57.903 
20,  15.621 ,  15.714 ,  31.335 ,  14.694 ,  46.030 
21,  13.588 ,  21.181 ,  34.769 ,  9.549 ,  44.318 
22,  15.436 ,  10.029 ,  25.465 ,  11.773 ,  37.239 
23,  46.880 ,  15.610 ,  62.490 ,  11.197 ,  73.688 
24,  54.861 ,  14.668 ,  69.529 ,  20.005 ,  89.534 
25,  13.498 ,  8.223 ,  21.721 ,  19.108 ,  40.829 
26,  20.049 ,  17.494 ,  37.543 ,  17.137 ,  54.681 
27,  58.845 ,  32.252 ,  91.097 ,  29.217 ,  120.315 
28,  39.498 ,  19.776 ,  59.274 ,  17.498 ,  76.772 
29,  50.478 ,  21.918 ,  72.397 ,  22.391 ,  94.788 
30,  21.075 ,  21.157 ,  42.233 ,  20.498 ,  62.730 
31,  62.723 ,  27.230 ,  89.953 ,  29.435 ,  119.388 
32,  61.675 ,  17.057 ,  78.733 ,  33.819 ,  112.552 
33,  2.841 ,  2.501 ,  5.341 ,  1.585 ,  6.927 
34,  8.228 ,  17.997 ,  26.225 ,  6.658 ,  32.883 
35,  46.981 ,  21.541 ,  68.522 ,  43.736 ,  112.257 
36,  47.755 ,  35.915 ,  83.670 ,  28.872 ,  112.542 
37,  16.071 ,  11.092 ,  27.163 ,  6.388 ,  33.551 
38,  3.265 ,  4.090 ,  7.355 ,  4.799 ,  12.154 
39,  14.630 ,  7.265 ,  21.896 ,  3.686 ,  25.582 
40,  22.896 ,  9.186 ,  32.082 ,  10.872 ,  42.954 
41,  31.257 ,  21.580 ,  52.837 ,  28.147 ,  80.984 
42,  14.630 ,  7.847 ,  22.477 ,  6.774 ,  29.252 
43,  63.288 ,  26.057 ,  89.345 ,  20.767 ,  110.112 
44,  24.744 ,  24.365 ,  49.108 ,  12.042 ,  61.151 
45,  36.248 ,  34.188 ,  70.436 ,  26.933 ,  97.369 
46,  24.701 ,  19.541 ,  44.242 ,  26.631 ,  70.873 
47,  10.158 ,  17.998 ,  28.156 ,  15.199 ,  43.355 
48,  18.462 ,  18.663 ,  37.125 ,  11.777 ,  48.902 
49,  32.078 ,  15.568 ,  47.646 ,  13.181 ,  60.827 
50,  4.829 ,  9.077 ,  13.906 ,  2.983 ,  16.889 
51,  9.768 ,  13.846 ,  23.614 ,  6.273 ,  29.887 
52,  24.570 ,  10.272 ,  34.842 ,  6.110 ,  40.952 
53,  35.842 ,  20.720 ,  56.562 ,  10.419 ,  66.981 
54,  42.089 ,  26.974 ,  69.063 ,  22.508 ,  91.571 
55,  21.780 ,  22.973 ,  44.753 ,  6.434 ,  51.186 
56,  32.529 ,  25.058 ,  57.587 ,  19.740 ,  77.327 
57,  43.962 ,  37.664 ,  81.626 ,  29.700 ,  111.326 
58,  28.153 ,  14.122 ,  42.275 ,  13.287 ,  55.562 
59,  70.656 ,  43.785 ,  114.441 ,  50.554 ,  164.995 
60,  22.465 ,  36.032 ,  58.497 ,  9.821 ,  68.318 
61,  32.121 ,  26.131 ,  58.252 ,  17.860 ,  76.112 
62,  23.903 ,  18.331 ,  42.234 ,  6.371 ,  48.606 
63,  21.882 ,  13.475 ,  35.357 ,  1.708 ,  37.065 
64,  36.879 ,  42.874 ,  79.753 ,  26.415 ,  106.168 
65,  17.162 ,  36.765 ,  53.926 ,  14.636 ,  68.562 
66,  21.856 ,  32.274 ,  54.130 ,  6.782 ,  60.912 
67,  12.389 ,  12.061 ,  24.450 ,  8.183 ,  32.633 
68,  58.295 ,  55.148 ,  113.443 ,  57.712 ,  171.156 
69,  20.581 ,  22.589 ,  43.170 ,  17.555 ,  60.725 
70,  23.209 ,  19.442 ,  42.651 ,  12.495 ,  55.146 
71,  20.349 ,  30.593 ,  50.942 ,  15.441 ,  66.382 
72,  23.675 ,  23.900 ,  47.574 ,  13.466 ,  61.040 
73,  71.346 ,  49.488 ,  120.835 ,  60.371 ,  181.206 
74,  38.462 ,  18.874 ,  57.336 ,  18.912 ,  76.247 
75,  15.188 ,  13.982 ,  29.170 ,  13.375 ,  42.545 
76,  17.243 ,  23.507 ,  40.751 ,  9.894 ,  50.644 
77,  47.373 ,  27.782 ,  75.155 ,  20.143 ,  95.297 
78,  21.717 ,  21.488 ,  43.206 ,  15.128 ,  58.334 
79,  64.097 ,  33.923 ,  98.020 ,  27.672 ,  125.692 
80,  32.794 ,  24.534 ,  57.329 ,  23.846 ,  81.175 
81,  35.707 ,  32.662 ,  68.369 ,  19.387 ,  87.756 
82,  81.776 ,  47.869 ,  129.645 ,  34.712 ,  164.357 
83,  35.677 ,  33.017 ,  68.693 ,  21.513 ,  90.207 
84,  16.043 ,  25.342 ,  41.385 ,  13.320 ,  54.705 
85,  7.266 ,  8.882 ,  16.147 ,  4.202 ,  20.350 
86,  4.625 ,  3.786 ,  8.411 ,  1.835 ,  10.246 
87,  16.594 ,  19.943 ,  36.538 ,  8.063 ,  44.601 
88,  24.920 ,  47.513 ,  72.433 ,  32.179 ,  104.612 
89,  8.151 ,  9.000 ,  17.151 ,  3.695 ,  20.846 
90,  11.431 ,  23.648 ,  35.079 ,  9.980 ,  45.059 
91,  44.065 ,  13.249 ,  57.314 ,  5.001 ,  62.315 
92,  14.646 ,  7.897 ,  22.543 ,  8.270 ,  30.813 
93,  87.082 ,  18.349 ,  105.431 ,  13.253 ,  118.685 
94,  24.471 ,  16.446 ,  40.917 ,  12.756 ,  53.673 
95,  12.335 ,  20.352 ,  32.688 ,  9.724 ,  42.411 
96,  12.329 ,  17.085 ,  29.414 ,  4.347 ,  33.761 
97,  14.269 ,  22.014 ,  36.283 ,  7.097 ,  43.380 
98,  8.779 ,  4.796 ,  13.576 ,  2.297 ,  15.872 
