,Nome_Limpo,stop_lat,stop_lon,Espera_Media_Minutos,Qtd_Plataformas
12,ESTACAO HIDROGENIO,-23.553469,-46.73239,16.96694214876033,1
16,ESTACAO PEDRO SEGUNDO,-23.551233,-46.625301,15.461538461538462,1
21,R. MMDC REF.: TERMINAL BUTANTA,-23.572151,-46.709027,19.73404255319149,1
22,TERMINAL A. E. CARVALHO,-23.518229277777777,-46.47575605555556,17.935297851747887,18
24,TERMINAL AMARAL GURGEL,-23.53907822222222,-46.64803233333333,15.355361757105944,9
40,TERMINAL JABAQUARA,-23.646908200000002,-46.6393914,15.923423769507803,5
41,TERMINAL JARDIM ANGELA,-23.690475499999998,-46.7739612,16.179281217081275,10
44,TERMINAL LAPA,-23.520091363636364,-46.69990563636364,15.96762604698705,22
56,TERMINAL METRO ITAQUERA PL. E,-23.54283,-46.47086266666667,19.027943251782748,6
64,TERMINAL METRO VILA MADALENA,-23.5471822,-46.690115000000006,20.2443818369453,5
65,TERMINAL METRO VILA MARIANA,-23.589416555555555,-46.63387288888889,17.705899240340628,9
76,TERMINAL S. MIGUEL,-23.4916169,-46.434729399999995,20.80145293385859,10
82,TERMINAL USP,-23.552396333333334,-46.7321035,17.40746296831823,6
83,TERMINAL V. PRUDENTE,-23.584808199999998,-46.5839666,16.108832524065082,5
