,Nome_Limpo,stop_lat,stop_lon,Espera_Media_Minutos,Qtd_Plataformas
0,AC. A ESTACAO JD. ROMANO LADO SUL,-23.484908,-46.38471,10.05813953488372,1
1,AREA DE APOIO DO TERMINAL JD. ANGELA,-23.692983666666667,-46.778518,8.150198412698414,3
2,ESTACAO ALBERTO LION B/C,-23.564183,-46.611236,6.628571428571429,1
3,ESTACAO ALBERTO LION C/B,-23.564195,-46.611271,5.46875,1
4,ESTACAO ANA NERI B/C,-23.559003,-46.61465,6.628571428571429,1
5,ESTACAO ANA NERI C/B,-23.559044,-46.614686,5.46875,1
6,ESTACAO DE TRANSF. JD. MIRIAM,-23.681693000000003,-46.637474,9.225762393998696,2
7,ESTACAO DE TRANSF. ST° AMARO,-23.626154,-46.687747,9.852272727272727,2
8,ESTACAO DE TRANSF. WASHINGTON LUIS,-23.643267,-46.673416,9.285714285714286,1
9,ESTACAO DE TRANSF.WASHINGTON LUIS,-23.643012,-46.673529,9.225961538461538,1
10,ESTACAO DO GRITO,-23.598365,-46.5974,14.642857142857142,1
11,ESTACAO FAZENDA DA JUTA,-23.611279500000002,-46.4869935,12.779207348406988,2
12,ESTACAO HIDROGENIO,-23.553469,-46.73239,16.96694214876033,1
13,ESTACAO JOAO DIAS,-23.640728,-46.723532,9.194915254237289,1
14,ESTACAO METRO D. PEDRO B/C,-23.55072,-46.626853,6.628571428571429,1
15,ESTACAO METRO D. PEDRO C/B,-23.55073,-46.626911,5.46875,1
16,ESTACAO PEDRO SEGUNDO,-23.551233,-46.625301,15.461538461538462,1
17,ESTACAO STO. AMARO,-23.655614333333332,-46.722901,8.12408052651955,3
18,ESTACAO VILA AURORA,-23.438337,-46.748133,5.7875,1
19,PLAT. ESTACAO CPTM GUAIANASES LADO NORTE,-23.541896400000002,-46.4159923,8.133934538829513,10
20,PLAT. LATERAL TERMINAL AGUA ESPRAIADA,-23.6134105,-46.696515000000005,9.990079365079364,2
21,R. MMDC REF.: TERMINAL BUTANTA,-23.572151,-46.709027,19.73404255319149,1
22,TERMINAL A. E. CARVALHO,-23.518229277777777,-46.47575605555556,17.935297851747887,18
23,TERMINAL AGUA ESPRAIADA,-23.613595,-46.695384499999996,9.56547619047619,6
24,TERMINAL AMARAL GURGEL,-23.53907822222222,-46.64803233333333,15.355361757105944,9
25,TERMINAL ARICANDUVA,-23.528774374999998,-46.554372125,13.898455487033523,8
26,TERMINAL BANDEIRA,-23.5496726875,-46.639686312500004,9.599076869522754,16
27,TERMINAL BARRA FUNDA LADO NORTE PLAT. A,-23.525163499999998,-46.666278500000004,7.951242469879518,4
28,TERMINAL BARRA FUNDA LADO SUL PLAT. B,-23.526294200000002,-46.666936400000004,10.667621122459057,10
29,TERMINAL BARRA FUNDA LADO SUL PLAT. C,-23.526404777777778,-46.66724555555556,13.095042165575471,9
30,TERMINAL CAMPO LIMPO,-23.631085964285713,-46.77296310714286,10.547720593597486,28
31,TERMINAL CAPELINHA,-23.654525852941177,-46.76252894117647,11.519581536054739,34
32,TERMINAL CASA VERDE,-23.496336499999998,-46.66255933333333,14.883169788657591,6
33,TERMINAL CIDADE TIRADENTES,-23.5831694,-46.4077083,10.059205106959041,20
34,TERMINAL CPTM JOSE BONIFACIO PL 1,-23.539598,-46.43133975,12.354772286821706,4
35,TERMINAL CPTM JOSE BONIFACIO PL2,-23.5397215,-46.4318435,7.7317073170731705,2
36,TERMINAL ESTACAO CPTM GUAIANASES PLAT. A,-23.542994,-46.415935,7.449608879492601,4
37,TERMINAL ESTACAO CPTM GUAIANASES PLAT. B,-23.542919,-46.41579975,13.276297982672485,4
38,TERMINAL GRAJAU,-23.737150620689658,-46.69731713793104,11.15509295500663,29
39,TERMINAL GUARAPIRANGA,-23.66802407142857,-46.73533642857143,10.694769728152503,14
40,TERMINAL JABAQUARA,-23.646908200000002,-46.6393914,15.923423769507803,5
41,TERMINAL JARDIM ANGELA,-23.690475499999998,-46.7739612,16.179281217081275,10
42,TERMINAL JARDIM BRITANIA,-23.4318106,-46.787147600000004,8.630694844215522,5
43,TERMINAL JOAO DIAS,-23.64376046153846,-46.73392707692308,14.365731671216594,13
44,TERMINAL LAPA,-23.520091363636364,-46.69990563636364,15.96762604698705,22
45,TERMINAL MERCADO,-23.547190333333333,-46.628797999999996,5.673701298701299,3
46,TERMINAL METALURGICOS,-23.60119333333333,-46.39929966666667,7.027668892760356,6
47,TERMINAL METRO ANA ROSA,-23.582019777777777,-46.63829633333333,12.379558404558404,9
48,TERMINAL METRO ARTUR ALVIM,-23.54063,-46.483454111111115,8.750295202790948,9
49,TERMINAL METRO BELEM,-23.5426398,-46.589523533333335,9.929778469174494,15
50,TERMINAL METRO BUTANTA,-23.57182933333333,-46.70880466666667,10.364459453020773,3
51,TERMINAL METRO CARRAO,-23.53841390909091,-46.563807545454544,8.463459920938135,11
52,TERMINAL METRO ITAQUERA PL. A,-23.542020307692308,-46.471154923076924,6.582036597409616,13
53,TERMINAL METRO ITAQUERA PL. B,-23.54241921428571,-46.47104528571429,8.843174685833302,14
54,TERMINAL METRO ITAQUERA PL. C,-23.542544000000003,-46.47084483333333,9.808445486219522,12
55,TERMINAL METRO ITAQUERA PL. D,-23.542791571428573,-46.470906571428564,14.826504283377599,7
56,TERMINAL METRO ITAQUERA PL. E,-23.54283,-46.47086266666667,19.027943251782748,6
57,TERMINAL METRO PARADA INGLESA,-23.486768,-46.608273,9.01875,4
58,TERMINAL METRO PATRIARCA,-23.530215444444444,-46.50132488888889,8.787676415725196,9
59,TERMINAL METRO PENHA,-23.534038,-46.542391,6.2023809523809526,1
60,TERMINAL METRO SANTANA,-23.503026,-46.623616,8.917525773195877,1
61,TERMINAL METRO TATUAPE,-23.540615947368423,-46.57664468421052,9.056593350909614,19
62,TERMINAL METRO TUCURUVI 2,-23.479922,-46.6023085,11.459338824855752,10
63,TERMINAL METRO TUCURUVI 3,-23.480799,-46.604136,9.195121951219512,1
64,TERMINAL METRO VILA MADALENA,-23.5471822,-46.690115000000006,20.2443818369453,5
65,TERMINAL METRO VILA MARIANA,-23.589416555555555,-46.63387288888889,17.705899240340628,9
66,TERMINAL METRO VILA MATILDE,-23.5313196,-46.530132,7.335380371660859,5
67,TERMINAL MORUMBI,-23.585708,-46.72403566666667,8.902439024390244,3
68,TERMINAL PARELHEIROS,-23.828307571428574,-46.727059,10.941228743792015,7
69,TERMINAL PARQUE DOM PEDRO II,-23.547015054545454,-46.63017003636364,13.077034864921037,55
70,TERMINAL PENHA,-23.518789833333333,-46.54684966666667,14.686880341880341,6
71,TERMINAL PINHEIROS,-23.566349857142857,-46.701697619047614,13.269714114120642,21
