,zona_o,zona_d,Tempo_Medio,Volume_Pessoas
8417,230,289,180.0,1301.6678507006711
13848,398,75,180.0,1057.3167099980033
11512,314,247,180.0,2006.415405192288
4955,119,105,180.0,1062.9829051759398
14566,430,280,177.0,1075.7658263269627
15252,459,2,160.0,1063.300254443465
10416,285,506,157.5,2764.2709336503603
13928,400,39,150.0,1023.5262952031552
16744,514,73,150.0,1494.3596479995879
13265,371,5,150.0,1001.2370252671168
8592,235,68,150.0,1019.787743144599
5865,151,407,150.0,1421.6012890893398
10648,293,32,150.0,1069.3723254203549
16536,504,99,150.0,1650.7454328504384
10817,298,64,144.0,1744.6994686510016
10389,285,57,140.0,1394.722322781685
8338,229,66,140.0,1223.0256253817547
16537,504,100,140.0,1458.5848872889358
10815,298,62,136.25,1254.901254810196
16741,514,6,135.0,1524.6534562778243
11374,311,2,135.0,1545.9397525887955
16663,508,340,133.33333333333334,1223.6550487343634
15541,468,5,132.5,1640.8004356427834
10821,298,68,132.14285714285714,2857.194059577834
14815,440,82,130.0,1830.5117815147603
4884,116,485,130.0,1322.6457188345648
14496,428,91,130.0,1132.26601105251
7610,207,6,130.0,1137.7484106506952
7615,207,28,130.0,1005.304999963895
15362,462,97,130.0,1163.068702270567
